ID,MARCA,NOMBRE,ESTILO,GRADUACIÓN,NACIONALIDAD,NOTA,COMENTARIOS,IMAGEN_LOCAL,IMAGEN
36,Birra & Blues,Doble Malta,Lager,6.2,Bélgica,,,Birra & Blues Doble Malta.png,https://borja-unibeerse.netlify.app/BeerImages/Birra%20&%20Blues%20Doble%20Malta.png
37,Birra Moretti,L'Autentica,Lager,4.6,Italia,,,Birra Moretti.png,https://borja-unibeerse.netlify.app/BeerImages/Birra%20Moretti.png
38,Bischofshof,Hefe-Weibbier,Trigo,5.1,Alemania,,,Bischofshof.png,https://borja-unibeerse.netlify.app/BeerImages/Bischofshof.png
39,Bischofshof,Original Festbier,Festbier,5.4,Alemania,,,Bischofshof Festbier.png,https://borja-unibeerse.netlify.app/BeerImages/Bischofshof%20Festbier.png
40,Bohemia,Viena,Baja fermentación,4.9,México,,,Bohemia Vienna.png,https://borja-unibeerse.netlify.app/BeerImages/Bohemia%20Vienna.png
41,Bombardier,Eagle Brewery,British Ale,5.2,Inglaterra,,,Bombardier Eagle Brewery.png,https://borja-unibeerse.netlify.app/BeerImages/Bombardier%20Eagle%20Brewery.png
42,Boris Brew,Vikingathor,Indian Dunkel,8.2,Alemania,,,Boris Brew Vikinghator.png,https://borja-unibeerse.netlify.app/BeerImages/Boris%20Brew%20Vikinghator.png
43,Brewdog,Indie Pale Ale,Pale Ale ,4.2,Escocia,,,Brewdog IPA.png,https://borja-unibeerse.netlify.app/BeerImages/Brewdog%20IPA.png
44,Brewdog,Punk IPA,IPA,5.6,Inglaterra,,,Brewdog Punk IPA.png,https://borja-unibeerse.netlify.app/BeerImages/Brewdog%20Punk%20IPA.png
45,Brutus,Brutus,Blonde Lager,5.0,Alemania,,,Brutus.png,https://borja-unibeerse.netlify.app/BeerImages/Brutus.png
46,Budweiser,Original,Lager,5.0,Estados Unidos,,,Budweiser.png,https://borja-unibeerse.netlify.app/BeerImages/Budweiser.png
47,Budweiser,Original,Lager,5.0,Estados Unidos,,Botellin del mundial 2018,Budweiser Mundial.png,https://borja-unibeerse.netlify.app/BeerImages/Budweiser%20Mundial.png
48,Burro de Sancho,Negra Porter,Porter,5.0,España,,Toledo,Burro de Sancho Negro Porter.png,https://borja-unibeerse.netlify.app/BeerImages/Burro%20de%20Sancho%20Negro%20Porter.png
49,Caleya,Fruit Smooth Paradise,Smoothie Sour Ale,5.5,España,,,,
50,Cerveses JK,JK,Daurada,5.3,España,,Regalo de una boda - Flor,,
51,Cerveza KVN,Península,Blond Ale,4.5,España,,,KVN Peninsula.png,https://borja-unibeerse.netlify.app/BeerImages/KVN%20Peninsula.png
52,Cervezas de asturias,Ordum,Stout,4.5,España,,,Ordum Stout.png,https://borja-unibeerse.netlify.app/BeerImages/Ordum%20Stout.png
53,Chang,Chang,Lager ,4.8,Tailandia,,,Chang.png,
54,Chula,Trigo,Trigo,5.0,España,,Rivas-Vaciamadrid,Chula Trigo.png,https://borja-unibeerse.netlify.app/BeerImages/Chula%20Trigo.png
