ID,MARCA,NOMBRE,ESTILO,GRADUACIÓN,NACIONALIDAD,NOTA,COMENTARIOS,IMAGEN_LOCAL,IMAGEN
164,Maeloc,Sidra Dulce,Sidra,4.1,España,,,Maeloc Sidra Dulce.png,https://borja-unibeerse.netlify.app/BeerImages/Maeloc%20Sidra%20Dulce.png
165,Mahou,5 Estrellas,Lager,5.5,España,,,Mahou 5 Estrellas.png,https://borja-unibeerse.netlify.app/BeerImages/Mahou%205%20Estrellas.png
166,Mahou,Tostada 0.0,Lager,0.0,España,,,"Mahou Tostada 0,0.png","https://borja-unibeerse.netlify.app/BeerImages/Mahou%20Tostada%200,0.png"
167,Mahou, Barrica Alma de Viña,Lager - Barricas que han contenido vino,6.1,España,,,Mahou Barrica Alma de Viña.png,https://borja-unibeerse.netlify.app/BeerImages/Mahou%20Barrica%20Alma%20de%20Vi%C3%B1a.png
168,Mahou,Casimiro Mahou,Lager,5.2,España,,,Mahou Casimiro Mahou.png,https://borja-unibeerse.netlify.app/BeerImages/Mahou%20Casimiro%20Mahou.png
169,Mahou,Barrica Matices de Madera de Roble,Lager,6.1,España,,,Mahou Barrica Madera de Roble.png,https://borja-unibeerse.netlify.app/BeerImages/Mahou%20Barrica%20Madera%20de%20Roble.png
170,Mahou,5 Estrellas,Lager,5.5,España,,Distinta Botella,Mahou 5 Estrellas Quinto.png,https://borja-unibeerse.netlify.app/BeerImages/Mahou%205%20Estrellas%20Quinto.png
171,Mahou,5 Estrellas,Lager,5.5,España,,Botellin Liga Real Madrid,Mahou 5 Estrellas Real Madrid.png,https://borja-unibeerse.netlify.app/BeerImages/Mahou%205%20Estrellas%20Real%20Madrid.png
172,Mahou,Maestra Dunkel,Munich Dunkel,6.1,España,,,Mahou Dunkel.png,https://borja-unibeerse.netlify.app/BeerImages/Mahou%20Dunkel.png
173,Mahou,Barrica Bourbon Envejecida,Lager - Barricas que han contenido bourbon,6.9,España,,,Mahou Barrica Bourbon.png,https://borja-unibeerse.netlify.app/BeerImages/Mahou%20Barrica%20Bourbon.png
174,Mahou ,IPA,IPA,4.5,España,,,Mahou IPA.png,https://borja-unibeerse.netlify.app/BeerImages/Mahou%20IPA.png
175,Mahou ,Maestra,Lager,7.5,España,,,Mahou Maestra.png,https://borja-unibeerse.netlify.app/BeerImages/Mahou%20Maestra.png
176,Mahou ,Rose,Lager Afrutada,4.8,España,,Cerveza afrutada de mahou,Mahou Rose.png,https://borja-unibeerse.netlify.app/BeerImages/Mahou%20Rose.png
177,Maisel & Friends,Intense Pure Awesome,IPA,6.3,Alemania,,,Maisel & Friends Intense Pure Awesome.png,https://borja-unibeerse.netlify.app/BeerImages/Maisel%20&%20Friends%20Intense%20Pure%20Awesome.png
178,Maredsous,Abbaye-abdij,Abadia,8.0,Bélgica,,,Maredsous Abbaye Abdij.png,https://borja-unibeerse.netlify.app/BeerImages/Maredsous%20Abbaye%20Abdij.png
179,Maris Hopping,Maris Hopping,Doble Ipa,6.5,España,,,Maris Hopping.png,https://borja-unibeerse.netlify.app/BeerImages/Maris%20Hopping.png
180,Marston's,Pedigree,Pale Ale,4.5,Inglaterra,,,Marston's Pedigree.png,https://borja-unibeerse.netlify.app/BeerImages/Marston's%20Pedigree.png
181,Maternus,Maternus,Pilsen,5.5,España,,Maria,Maternus Barrica.png,
182,Miss Kits,Miss Kits,Rubia,4.2,España,,Ibiza,,
183,Modelo,Especial,Pilsen,4.5,México,,,Modelo Especial.png,https://borja-unibeerse.netlify.app/BeerImages/Modelo%20Especial.png
184,Moersleutel,Darth Vader,Imperial Stout,11.0,Holanda,0,Lata,Moersleutel Darth Vader.png,https://borja-unibeerse.netlify.app/BeerImages/Moersleutel%20Darth%20Vader.png
185,Mort Subite,Kriek Lambic,Lambic,4.0,Bélgica,,,Mort Subite Kriek.png,https://borja-unibeerse.netlify.app/BeerImages/Mort%20Subite%20Kriek.png
186,Munich ,La Salve,Dubbel - Trapenses,6.2,España,,,Munich La Salve.png,https://borja-unibeerse.netlify.app/BeerImages/Munich%20La%20Salve.png
187,Mustache,Mustache,Lager,4.7,España,,Rias Baixas,Mustache.png,https://borja-unibeerse.netlify.app/BeerImages/Mustache.png
188,Naviega,Naviega,Irish Red,5.8,España,,Artesanal de Asturias,Naviega.png,https://borja-unibeerse.netlify.app/BeerImages/Naviega.png
189,Olañeta,Olañeta,Golden Strong Ale,8.4,España,,Gipuzcua,Olañeta Golden Strong Ale.png,https://borja-unibeerse.netlify.app/BeerImages/Ola%C3%B1eta%20Golden%20Strong%20Ale.png
190,Old Empire IPA,Marstons,IPA,5.7,Inglaterra,,,Old Empire IPA Marstons.png,https://borja-unibeerse.netlify.app/BeerImages/Old%20Empire%20IPA%20Marstons.png
191,Oro,Bilbao,Lager,6.0,España,,,Oro Bilbao.png,https://borja-unibeerse.netlify.app/BeerImages/Oro%20Bilbao.png
192,Pagoa,Basque Beer,Pilsen,4.9,España,,,Pagoa Pilsen.png,https://borja-unibeerse.netlify.app/BeerImages/Pagoa%20Pilsen.png
193,Patanel,Golden Ale,Golden Ale,6.0,España,,Carabanchel,Patanel Golden Ale.png,https://borja-unibeerse.netlify.app/BeerImages/Patanel%20Golden%20Ale.png
194,Patanel,Red Ale,Red Ale,6.0,España,,Carabanchel,Patanel Red Ale.png,https://borja-unibeerse.netlify.app/BeerImages/Patanel%20Red%20Ale.png
195,Patronus,Weissbier Naturtrüb,Trigo,5.5,Alemania,,,Patronus.png,https://borja-unibeerse.netlify.app/BeerImages/Patronus.png
196,Paulaner,Dunkel,Trigo Oscura,5.3,Alemania,,,Paulaner Dunkel.png,https://borja-unibeerse.netlify.app/BeerImages/Paulaner%20Dunkel.png
197,Paulaner,Salvator,Baja fermentación,7.9,Alemania,,,Paulaner Salvatore.png,https://borja-unibeerse.netlify.app/BeerImages/Paulaner%20Salvatore.png
198,Paulaner,Hefe-Weibbier,Trigo,5.5,Alemania,,,Paulaner Trigo.png,https://borja-unibeerse.netlify.app/BeerImages/Paulaner%20Trigo.png
199,Pauwel Kwak,Kwak,Alta fermantación Filtrada,8.4,Bélgica,,Botella de 50 cl,Kwak 50cl.png,https://borja-unibeerse.netlify.app/BeerImages/Kwak%2050cl.png
200,Pauwel Kwak,Kwak,Alta fermantación Filtrada,8.4,Bélgica,,Botella de Tercio,Kwak Tercio.png,https://borja-unibeerse.netlify.app/BeerImages/Kwak%20Tercio.png
201,PilsnerUrquell,The original pilsner,Pilsen,4.4,Chequia,,,PilsnerUrquell.png,https://borja-unibeerse.netlify.app/BeerImages/PilsnerUrquell.png
202,Polar,Polar,Pilsen,4.5,Venezuela,,,Polar.png,https://borja-unibeerse.netlify.app/BeerImages/Polar.png
203,Praga,Dark Lager,Lager Oscura,4.5,Chequia,,,Praga Dark Lager.png,https://borja-unibeerse.netlify.app/BeerImages/Praga%20Dark%20Lager.png
204,Presidente,Pilsener Style,Pilsen,5.0,República Dominicana,,,Presidente.png,https://borja-unibeerse.netlify.app/BeerImages/Presidente.png
205,Ramblers,Weissbier,Trigo,5.0,Alemania,,,Ramblers Weissbier.png,https://borja-unibeerse.netlify.app/BeerImages/Ramblers%20Weissbier.png
206,Ramblers,Reserva Artesana,Lager,6.5,España,,,Rambler Artesana.png,https://borja-unibeerse.netlify.app/BeerImages/Rambler%20Artesana.png
207,Ramblers,Red Ale,Red Ale,6.1,España,,,Ramblers Red Ale.png,https://borja-unibeerse.netlify.app/BeerImages/Ramblers%20Red%20Ale.png
208,Reissdorf,Kölsch,Pale Ale ,4.8,Alemania,,Felipe,Reissdorf Kölsch.png,https://borja-unibeerse.netlify.app/BeerImages/Reissdorf%20K%C3%B6lsch.png
209,Ringwood,Razor Back,Pale Ale,3.6,Inglaterra,,,Ringwood Razor Back.png,https://borja-unibeerse.netlify.app/BeerImages/Ringwood%20Razor%20Back.png
210,Roja Ruiva,Roja Ruiva,Strong Ale,8.5,Bélgica,,,Roja Ruiva.png,https://borja-unibeerse.netlify.app/BeerImages/Roja%20Ruiva.png
211,Sagres,Sagres,Blonde Lager,5.0,Portugal,,,Sagres.png,https://borja-unibeerse.netlify.app/BeerImages/Sagres.png
212,Sagres,Preta,Dunkel,4.1,Portugal,,,Sagres Preta.png,
213,Salitos,Blue,Vino de frutas,5.0,Panama / Alemania,,Malo,Salitos.png,https://borja-unibeerse.netlify.app/BeerImages/Salitos.png
214,Samuel Smith,Samuel Smith,Imperial Stout,7.0,Inglaterra,,,Samuel Smith.png,https://borja-unibeerse.netlify.app/BeerImages/Samuel%20Smith.png
215,San Miguel,Selecta,Lager,6.2,España,,,San Miguel Selecta.png,https://borja-unibeerse.netlify.app/BeerImages/San%20Miguel%20Selecta.png
216,San Miguel,Manila,Lager - IPA,5.4,España,,,San Miguel Manila.png,https://borja-unibeerse.netlify.app/BeerImages/San%20Miguel%20Manila.png
217,Sanabria ,Sanabria,Blonde Ale,5.7,España,,Cantabria,,
218,Sapporo,Premium Beer,Lager,4.7,Japón,,Lata,Sapporo.png,https://borja-unibeerse.netlify.app/BeerImages/Sapporo.png
219,Schlenkerla,Aecht Schlenkerla Rauchbier Märzen,Lager,5.1,Alemania,,,Schlenkerla Aecht Schlenkerla Rauchbier Märzen.png,https://borja-unibeerse.netlify.app/BeerImages/Schlenkerla%20Aecht%20Schlenkerla%20Rauchbier%20M%C3%A4rzen.png
220,‎Schloss Eggenberg,Samichlaus,Baja fermentación,14.0,Austria,,,Samichlaus Schloss Eggenberg.png,https://borja-unibeerse.netlify.app/BeerImages/Samichlaus%20Schloss%20Eggenberg.png
221,SchneiderWeisse,Aventinus,Trigo,8.2,Alemania,,,SchneiderWeisse Aventinus.png,https://borja-unibeerse.netlify.app/BeerImages/SchneiderWeisse%20Aventinus.png
222,SchneiderWeisse,Tap1,Trigo,5.2,Alemania,,,SchneiderWeisse Tap1.png,https://borja-unibeerse.netlify.app/BeerImages/SchneiderWeisse%20Tap1.png
223,SchneiderWeisse,Original Weissbier,Trigo,5.4,Alemania,,,SchneiderWeisse Original.png,https://borja-unibeerse.netlify.app/BeerImages/SchneiderWeisse%20Original.png
224,SchneiderWeisse,Hopfenweisse Tap 05,Trigo,8.2,Alemania,,,SchneiderWeisse Hopfenweisse Tap 05.png,https://borja-unibeerse.netlify.app/BeerImages/SchneiderWeisse%20Hopfenweisse%20Tap%2005.png
225,Schöfferhofer,Hefeweizen,Dunkel,5.0,Alemania,,,Schöfferhofer Hefeweizen.png,https://borja-unibeerse.netlify.app/BeerImages/Sch%C3%B6fferhofer%20Hefeweizen.png
226,Shinga,Shinga,Pale Ale,5,Tailandia,,,Shinga Thai.png,
227,Sierra Nevada,Torpedo,Triple IPA,7.2,España,,,Sierra Nevada Triple IPA.png,https://borja-unibeerse.netlify.app/BeerImages/Sierra%20Nevada%20Triple%20IPA.png
228,Singha,Premium Lager,Lager,5.0,Tailandia,,,Singha Premium Lager.png,https://borja-unibeerse.netlify.app/BeerImages/Singha%20Premium%20Lager.png
229,Sol,Sol,Lager,4.5,México,,,Sol.png,https://borja-unibeerse.netlify.app/BeerImages/Sol.png
230,Sputnik,Sputnik,Blonde,5.9,España,,,Sputnik.png,https://borja-unibeerse.netlify.app/BeerImages/Sputnik.png
231,Sr. Mendrugo ,Sr. Mendrugo,Pale Ale,5.0,España,,Fermentada con pan,Sr. Mendrugo.png,https://borja-unibeerse.netlify.app/BeerImages/Sr.%20Mendrugo.png
232,St Peter's Old-Style,Porter,Porter,5.1,Inglaterra,,,St Peters Old Style Porter.png,https://borja-unibeerse.netlify.app/BeerImages/St%20Peters%20Old%20Style%20Porter.png
233,St. Bernardus,Prior 8,Dubbel,8.0,Bélgica,,,St. Bernardus Prior 8.png,https://borja-unibeerse.netlify.app/BeerImages/St.%20Bernardus%20Prior%208.png
234,Steam Brew,Steam Brew,Wheat Pale Ale,5.6,Alemania,,Lata,Steam Brew Wheat Pale Ale.png,https://borja-unibeerse.netlify.app/BeerImages/Steam%20Brew%20Wheat%20Pale%20Ale.png
235,Steam Brew,Steam Brew,Stout,7.5,Alemania,,Lata,Steam Brew Stout.png,https://borja-unibeerse.netlify.app/BeerImages/Steam%20Brew%20Stout.png
236,Steam Brew,Steam Brew,German Red,7.9,Alemania,,Lata,Steam Brew Red Ale.png,https://borja-unibeerse.netlify.app/BeerImages/Steam%20Brew%20Red%20Ale.png
237,Steam Brew,Steam Brew,Session IPA,4.9,Alemania,,Lata,Steam Brew IPA.png,https://borja-unibeerse.netlify.app/BeerImages/Steam%20Brew%20IPA.png
238,Steenhuffel,Palm,Ale,0.0,Bélgica,,,Palm Steenhuffel.png,https://borja-unibeerse.netlify.app/BeerImages/Palm%20Steenhuffel.png
239,Super Bock,Coruja,Indian Pale Ale,6,Portugal,,Viendo a Blink,Super Bock.png,https://borja-unibeerse.netlify.app/BeerImages/Super%20Bock.png
240,The Crafty,Pale Ale,Pale Ale,4.5,Irlanda,,,The Crafty Pale Ale.png,https://borja-unibeerse.netlify.app/BeerImages/The%20Crafty%20Pale%20Ale.png
241,The One Beer,Rubia Inglesa,Pale Ale,5.2,España,,Cerveceria de Getafe,,
242,The One Beer,Negra,Stout,5.2,España,,Cerveceria de Getafe,,
243,The One Beer,Madrid One,Indian Pale Ale,5,España,,Cerveceria de Getafe,,
244,The One Beer,La Celta,Fraoch Heather Ale,7.5,España,,Cerveceria de Getafe,,
245,The One Beer,La Pelirroja de Getafe,Irish Red Ale,5,España,,Cerveceria de Getafe,,
246,Tiger,Asian Lager,Lager,5.0,Singapur,,,Tiger Asian Lager.png,https://borja-unibeerse.netlify.app/BeerImages/Tiger%20Asian%20Lager.png
247,Tostada ,Especialidades 1897,Lager,5.9,España,3,,Tostada 1897.png,https://borja-unibeerse.netlify.app/BeerImages/Tostada%201897.png
248,Trappistes,Rochefort 10,Trapenses,11.3,Bélgica,,,Trappistes Rochefort 10.png,https://borja-unibeerse.netlify.app/BeerImages/Trappistes%20Rochefort%2010.png
249,Trappistes ,Rochefort 8,Trapenses,9.2,Bélgica,,,Trappistes Rochefort 8.png,https://borja-unibeerse.netlify.app/BeerImages/Trappistes%20Rochefort%208.png
250,Triganer,Triganer,Trigo,5.5,España,,,Triganer.png,https://borja-unibeerse.netlify.app/BeerImages/Triganer.png
251,Tsingtao,Premium Lager,Lager,4.7,China,,,Tsingtao.png,https://borja-unibeerse.netlify.app/BeerImages/Tsingtao.png
252,Tsingtao,Premium Lager,Lager,4.7,China,,,Tsingtao 2024.png,https://borja-unibeerse.netlify.app/BeerImages/Tsingtao.png
253,Tuborg,Pilsner,Pilsen,4.9,Dinamarca,,,Tuborg.png,https://borja-unibeerse.netlify.app/BeerImages/Tuborg.png
254,Turia,Märzen,Märzenbier,5.4,España,,,Turia Märzen.png,https://borja-unibeerse.netlify.app/BeerImages/Turia%20M%C3%A4rzen.png
255,Tyris,Paquita Brown,Brown Ale,5.5,España,,Valencia,Tyris Brown Ale.png,https://borja-unibeerse.netlify.app/BeerImages/Tyris%20Brown%20Ale.png
256,Tyris,Trigo,Trigo,4.5,España,,Valencia,Tyris Trigo.png,https://borja-unibeerse.netlify.app/BeerImages/Tyris%20Trigo.png
257,Tyris,IPA,IPA,6.0,España,,,Tyris IPA.png,https://borja-unibeerse.netlify.app/BeerImages/Tyris%20IPA.png
258,Tyris,Lemon & Melon,Radler,2.3,España,,,Tyris Lemon y Melon.png,https://borja-unibeerse.netlify.app/BeerImages/Tyris%20Lemon%20y%20Melon.png
259,Vecster,La Grúa,Irish Red,6.0,España,,Cantabria - Jaen,Vecster La Grúa.png,https://borja-unibeerse.netlify.app/BeerImages/Vecster%20La%20Gr%C3%BAa.png
260,Victoria,Malaga,Lager,4.8,España,,,Victoria Malaga.png,https://borja-unibeerse.netlify.app/BeerImages/Victoria%20Malaga.png
261,Volldamm,VollDamm,Märzenbier,7.2,España,,,VollDamm 1L.png,https://borja-unibeerse.netlify.app/BeerImages/VollDamm%201L.png
262,Volldamm,VollDamm,Märzenbier,7.2,España,,Quinto edición 70 aniversario. ,VollDamm 70 aniversario.png,https://borja-unibeerse.netlify.app/BeerImages/VollDamm%2070%20aniversario.png
263,Weihenstephaner,Vitus,Trigo,7.7,Alemania,,,Weihenstephaner Vitus.png,https://borja-unibeerse.netlify.app/BeerImages/Weihenstephaner%20Vitus.png
264,Weihenstephaner,Korbinian,Doppelbock,7.4,Alemania,,,Weihenstephaner Korbinian.png,https://borja-unibeerse.netlify.app/BeerImages/Weihenstephaner%20Korbinian.png
265,WeissDamm,Hefe-Weissbier,Trigo,4.8,España,,,Weihenstephaner Hefeweissbier.png,https://borja-unibeerse.netlify.app/BeerImages/Weihenstephaner%20Hefeweissbier.png
266,Westmalle,Westmalle Trappist,Dubbel,7.0,Bélgica,,,Westmalle Trappist.png,https://borja-unibeerse.netlify.app/BeerImages/Westmalle%20Trappist.png
267,Wychwood,Ginger Beard,Jengibre,4.2,Inglaterra,,,Wychwood Ginger Beard.png,https://borja-unibeerse.netlify.app/BeerImages/Wychwood%20Ginger%20Beard.png
268,WychwoodBrewery,BlackWych,Porter,5.0,Inglaterra,,,WychwoodBrewey Blackwych.png,https://borja-unibeerse.netlify.app/BeerImages/WychwoodBrewey%20Blackwych.png
269,XX,Dos Equis,Lager,4.2,México,,,XX Dos Equis.png,https://borja-unibeerse.netlify.app/BeerImages/XX%20Dos%20Equis.png
270,Zurito,Zurito,Blonde Ale,4.5,España,,Bilbao,Zurito.png,https://borja-unibeerse.netlify.app/BeerImages/Zurito.png
